Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8060976631208644,0.7271257678629163,0.7628038439796495,0.7445376296623262,0.8905043988960109
Random Forest,0.847935337968004,0.829832995951417,0.7415488976823064,0.7832109379664458,0.9202833810839444
Gradient Boosting,0.8493592428176564,0.8473656341011385,0.7236856981345393,0.7806573571559241,0.9251218827905912
