,precision,recall,f1-score,support
0,0.8568924502316264,0.9105301669660081,0.8828974102621988,15033.0
1,0.829832995951417,0.7415488976823064,0.7832109379664458,8845.0
accuracy,0.847935337968004,0.847935337968004,0.847935337968004,0.847935337968004
macro avg,0.8433627230915217,0.8260395323241572,0.8330541741143223,23878.0
weighted avg,0.8468689611157688,0.847935337968004,0.8459710827868686,23878.0
